keyword,file,line_start,line_end,snippet
verification,apps/web/lib/qgen/services/medical-verification-service.ts,709,709,"category: v.category as ClaimVerificationResult['category'],"
verification,apps/web/lib/qgen/services/medical-verification-service.ts,712,712,"console.error('LLM verification error:', error);"
verification,apps/web/lib/qgen/services/medical-verification-service.ts,725,725,outdatedTerms: MedicalVerificationResult['outdatedTerms'];
verification,apps/web/lib/qgen/services/medical-verification-service.ts,726,726,dangerousPatterns: MedicalVerificationResult['dangerousPatterns'];
verification,apps/web/lib/qgen/services/medical-verification-service.ts,727,727,claimVerifications: ClaimVerificationResult[];
verification,apps/web/lib/qgen/services/medical-verification-service.ts,741,741,// Consider claim verification
verification,apps/web/lib/qgen/services/medical-verification-service.ts,742,742,if (results.claimVerifications.length > 0) {
verification,apps/web/lib/qgen/services/medical-verification-service.ts,743,743,const verifiedRatio = results.claimVerifications.filter(c => c.isVerified).length /
verification,apps/web/lib/qgen/services/medical-verification-service.ts,744,744,results.claimVerifications.length;
verification,apps/web/lib/qgen/services/medical-verification-service.ts,745,745,score *= (0.7 + 0.3 * verifiedRatio); // 30% weight on verification
verification,apps/web/lib/qgen/services/medical-verification-service.ts,766,766,"dangerousPatterns: MedicalVerificationResult['dangerousPatterns'],"
verification,apps/web/lib/qgen/services/medical-verification-service.ts,767,767,outdatedTerms: MedicalVerificationResult['outdatedTerms']
verification,apps/web/lib/qgen/services/medical-verification-service.ts,794,794,export const medicalVerificationService = new MedicalVerificationService();
DDL,apps/web/lib/qgen/services/prompt-builder-service.ts,15,15,# SISTEMA QGen-DDL: Elaborador de Questoes Medicas
ENAMED,apps/web/lib/qgen/services/prompt-builder-service.ts,17,17,"Voce e um elaborador especialista de questoes para provas de residencia medica brasileira e ENAMED, com profundo conhecimento em:"
IRT,apps/web/lib/qgen/services/prompt-builder-service.ts,37,37,### Teoria de Resposta ao Item (IRT)
ENAMED,apps/web/lib/qgen/services/prompt-builder-service.ts,44,44,### Distribuicao por Area (ENAMED tipico)
DIF,apps/web/lib/qgen/services/prompt-builder-service.ts,109,109,"const DIFFICULTY_INSTRUCTIONS: Record<number, string> = {"
DIF,apps/web/lib/qgen/services/prompt-builder-service.ts,111,111,**DIFICULDADE 1 (Facil - IRT b ≈ -1.2)**
IRT,apps/web/lib/qgen/services/prompt-builder-service.ts,111,111,**DIFICULDADE 1 (Facil - IRT b ≈ -1.2)**
DIF,apps/web/lib/qgen/services/prompt-builder-service.ts,119,119,**DIFICULDADE 2 (Facil-Medio - IRT b ≈ -0.6)**
IRT,apps/web/lib/qgen/services/prompt-builder-service.ts,119,119,**DIFICULDADE 2 (Facil-Medio - IRT b ≈ -0.6)**
DIF,apps/web/lib/qgen/services/prompt-builder-service.ts,127,127,**DIFICULDADE 3 (Medio - IRT b ≈ 0.0)**
IRT,apps/web/lib/qgen/services/prompt-builder-service.ts,127,127,**DIFICULDADE 3 (Medio - IRT b ≈ 0.0)**
DIF,apps/web/lib/qgen/services/prompt-builder-service.ts,135,135,**DIFICULDADE 4 (Medio-Dificil - IRT b ≈ +0.6)**
IRT,apps/web/lib/qgen/services/prompt-builder-service.ts,135,135,**DIFICULDADE 4 (Medio-Dificil - IRT b ≈ +0.6)**
DIF,apps/web/lib/qgen/services/prompt-builder-service.ts,143,143,**DIFICULDADE 5 (Dificil - IRT b ≈ +1.2)**
IRT,apps/web/lib/qgen/services/prompt-builder-service.ts,143,143,**DIFICULDADE 5 (Dificil - IRT b ≈ +1.2)**
IRT,apps/web/lib/qgen/services/prompt-builder-service.ts,284,284,"targetDifficulty: this.difficultyToIRT(params.difficulty),"
IRT,apps/web/lib/qgen/services/prompt-builder-service.ts,314,314,"targetDifficulty: this.difficultyToIRT(params.difficulty),"
DIF,apps/web/lib/qgen/services/prompt-builder-service.ts,363,363,| DIFFERENT_CONTEXT | Correto em outro cenario | Questoes de conduta |
guideline,apps/web/lib/qgen/services/prompt-builder-service.ts,427,427,- Compativel com guidelines vigentes?
IRT,apps/web/lib/qgen/services/prompt-builder-service.ts,512,512,${config.targetDifficulty !== undefined ? `- **Dificuldade Alvo IRT:** ${config.targetDifficulty.toFixed(1)}` : ''}
DIF,apps/web/lib/qgen/services/prompt-builder-service.ts,547,547,${DIFFICULTY_INSTRUCTIONS[difficulty] || DIFFICULTY_INSTRUCTIONS[3]}
IRT,apps/web/lib/qgen/services/prompt-builder-service.ts,576,576,* Convert 1-5 difficulty to IRT b parameter
IRT,apps/web/lib/qgen/services/prompt-builder-service.ts,578,578,private difficultyToIRT(difficulty: number): number {
IRT,apps/web/lib/qgen/services/prompt-builder-service.ts,590,590,* Convert IRT b parameter to 1-5 difficulty
ENAMED,apps/web/lib/qgen/services/qgen-generation-service.ts,25,25,import { ENAMED_DISTRIBUTION } from '../constants/patterns';
ENAMED,apps/web/lib/qgen/services/qgen-generation-service.ts,191,191,// Use ENAMED distribution if not specified
ENAMED,apps/web/lib/qgen/services/qgen-generation-service.ts,192,192,const areaDistribution = examConfig.areaDistribution || ENAMED_DISTRIBUTION;
DDL,apps/web/lib/qgen/services/qgen-generation-service.ts,271,271,* Generate an adaptive question based on DDL classification
DDL,apps/web/lib/qgen/services/qgen-generation-service.ts,274,274,// Map DDL classification to generation parameters
DDL,apps/web/lib/qgen/services/qgen-generation-service.ts,275,275,const config = this.mapDDLToGenerationConfig(request);
DDL,apps/web/lib/qgen/services/qgen-generation-service.ts,297,297,* Map DDL classification to generation config
DDL,apps/web/lib/qgen/services/qgen-generation-service.ts,299,299,private mapDDLToGenerationConfig(request: QGenAdaptiveRequest): QGenGenerationConfig {
Grok,apps/web/lib/qgen/services/qgen-generation-service.ts,383,383,"// In production, this would call the actual LLM API (Grok, Claude, etc.)"
Grok,apps/web/lib/qgen/services/qgen-generation-service.ts,392,392,// Example implementation for Grok API
Grok,apps/web/lib/qgen/services/qgen-generation-service.ts,571,571,// Approximate cost per 1K tokens for Grok-3
IRT,apps/web/lib/qgen/services/qgen-validation-service.ts,54,54,const irtEstimation = this.estimateIRT(question);
IRT,apps/web/lib/qgen/services/qgen-validation-service.ts,483,483,* Stage 6: Estimate IRT parameters and alignment
IRT,apps/web/lib/qgen/services/qgen-validation-service.ts,485,485,estimateIRT(question: QGenGeneratedQuestion): ValidationStageResult {
ENAMED,apps/web/lib/stores/catStore.ts,3,3,"import type { ENAMEDQuestion, ENAMEDArea, CATConfig, CATSession } from '@darwin-education/shared'"
ENAMED,apps/web/lib/stores/catStore.ts,19,19,currentQuestion: ENAMEDQuestion | null
ENAMED,apps/web/lib/stores/catStore.ts,38,38,firstQuestion: ENAMEDQuestion
ENAMED,apps/web/lib/stores/catStore.ts,41,41,"confirmAnswer: (nextQuestion: ENAMEDQuestion | null, updatedSession: CATSession) => void"
ENAMED,apps/web/lib/stores/examStore.ts,3,3,"import type { ENAMEDQuestion, TRIScore, ENAMEDArea } from '@darwin-education/shared'"
ENAMED,apps/web/lib/stores/examStore.ts,17,17,questions: ENAMEDQuestion[]
ENAMED,apps/web/lib/stores/examStore.ts,32,32,"areaScores: Record<ENAMEDArea, { correct: number; total: number; percentage: number }>"
ENAMED,apps/web/lib/stores/examStore.ts,41,41,questions: ENAMEDQuestion[]
ENAMED,apps/web/lib/stores/examStore.ts,47,47,questions: ENAMEDQuestion[]
ENAMED,apps/web/lib/stores/examStore.ts,200,200,"const areaScores = {} as Record<ENAMEDArea, { correct: number; total: number; percentage: number }>"
ENAMED,apps/web/lib/stores/examStore.ts,201,201,"const areas: ENAMEDArea[] = ['clinica_medica', 'cirurgia', 'ginecologia_obstetricia', 'pediatria', 'saude_coletiva']"
ENAMED,apps/web/lib/stores/questionGenStore.ts,2,2,import type { ENAMEDArea } from '@darwin-education/shared'
ENAMED,apps/web/lib/stores/questionGenStore.ts,32,32,selectedArea: ENAMEDArea | null
ENAMED,apps/web/lib/stores/questionGenStore.ts,50,50,setArea: (area: ENAMEDArea | null) => void
ENAMED,apps/web/lib/stores/questionGenStore.ts,64,64,"selectedArea: null as ENAMEDArea | null,"
ENAMED,apps/web/lib/stores/userStore.ts,3,3,import type { ENAMEDArea } from '@darwin-education/shared'
ENAMED,apps/web/lib/stores/userStore.ts,24,24,area: ENAMEDArea
ENAMED,apps/web/lib/stores/userStore.ts,161,161,"export const selectWeakestAreas = (state: UserState, count = 2): ENAMEDArea[] => {"
ENAMED,apps/web/lib/stores/userStore.ts,169,169,"export const selectStrongestAreas = (state: UserState, count = 2): ENAMEDArea[] => {"
DDL,apps/web/lib/supabase/index.ts,40,40,// DDL (Diagnóstico Diferencial de Lacunas)
DDL,apps/web/lib/supabase/index.ts,41,41,export type DDLQuestion = Tables<'ddl_questions'>
DDL,apps/web/lib/supabase/index.ts,42,42,export type DDLResponse = Tables<'ddl_responses'>
DDL,apps/web/lib/supabase/index.ts,43,43,export type DDLSemanticAnalysis = Tables<'ddl_semantic_analysis'>
DDL,apps/web/lib/supabase/index.ts,44,44,export type DDLBehavioralAnalysis = Tables<'ddl_behavioral_analysis'>
DDL,apps/web/lib/supabase/index.ts,45,45,export type DDLClassification = Tables<'ddl_classification'>
DDL,apps/web/lib/supabase/index.ts,46,46,export type DDLFeedback = Tables<'ddl_feedback'>
DDL,apps/web/lib/supabase/index.ts,47,47,export type DDLUserBaseline = Tables<'ddl_user_baseline'>
FSRS,apps/web/lib/supabase/index.ts,56,56,// FSRS / CAT / IRT
IRT,apps/web/lib/supabase/index.ts,56,56,// FSRS / CAT / IRT
FSRS,apps/web/lib/supabase/index.ts,57,57,export type UserFSRSWeights = Tables<'user_fsrs_weights'>
IRT,apps/web/lib/supabase/index.ts,59,59,export type IRTResponseLog = Tables<'irt_response_log'>
IRT,apps/web/lib/supabase/index.ts,60,60,export type IRTCalibrationBatch = Tables<'irt_calibration_batches'>
IRT,apps/web/lib/supabase/index.ts,61,61,export type IRTParameterHistory = Tables<'irt_parameter_history'>
FSRS,apps/web/lib/supabase/types.ts,964,964,// FSRS & CAT & IRT (migration 005)
IRT,apps/web/lib/supabase/types.ts,964,964,// FSRS & CAT & IRT (migration 005)
DDL,apps/web/lib/supabase/types.ts,1139,1139,// DDL — Diagnostico Diferencial de Lacunas (migration 008)
ENAMED,apps/web/lib/theory-gen/adapters/darwin-mfc-adapter.ts,79,79,* Get diseases by ENAMED area
ENAMED,apps/web/lib/theory-gen/adapters/darwin-mfc-adapter.ts,82,82,// Map ENAMED areas to disease categories
ENAMED,apps/web/lib/theory-gen/adapters/darwin-mfc-adapter.ts,125,125,* Prioritizes high-frequency ENAMED topics
ENAMED,apps/web/lib/theory-gen/adapters/darwin-mfc-adapter.ts,131,131,// Sort by priority (could be based on ENAMED frequency)
ENAMED,apps/web/lib/theory-gen/prompts/theory-prompt-builder.ts,46,46,Você é um educador médico especializado em preparação para ENAMED.
ENAMED,apps/web/lib/theory-gen/prompts/theory-prompt-builder.ts,165,165,- **5-6 pontos-chave:** Elementos memoráveis para ENAMED
ENAMED,apps/web/lib/theory-gen/prompts/theory-prompt-builder.ts,206,206,- Relevância para ENAMED
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,2,2,* Citation Verification Service
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,9,9,* - Medical authority verification
hallucination,apps/web/lib/theory-gen/services/citation-verification-service.ts,11,11,* Prevents hallucination by ensuring all citations are verified
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,14,14,export interface CitationVerification {
guideline,apps/web/lib/theory-gen/services/citation-verification-service.ts,23,23,source: 'brazilian_guideline' | 'pubmed' | 'uptodate' | 'web' | 'unknown';
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,25,25,"verificationScore: number; // 0-1, higher is more reliable"
hallucination,apps/web/lib/theory-gen/services/citation-verification-service.ts,30,30,export interface HallucinationCheck {
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,44,44,verificationStatus: 'verified' | 'unverified' | 'failed' | 'contradiction';
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,78,78,export class CitationVerificationService {
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,79,79,"private verificationCache: Map<string, CitationVerification> = new Map();"
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,85,85,"async verifyCitation(url: string, title: string, publicationYear?: number, evidenceLevel: 'A' | 'B' | 'C' = 'C'): Promise<CitationVerification> {"
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,88,88,const cached = this.verificationCache.get(cacheKey);
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,93,93,const verification: CitationVerification = {
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,101,101,"verificationScore: 0,"
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,108,108,verification.warnings.push('Source is not medically authoritative');
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,109,109,verification.verificationScore = 0.3;
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,110,110,"this.verificationCache.set(cacheKey, verification);"
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,111,111,return verification;
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,117,117,verification.statusCode = response.status;
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,118,118,verification.isAccessible = response.ok;
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,122,122,verification.extractedTitle = this.extractPageTitle(content);
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,123,123,"verification.titleMatch = this.compareTitles(title, verification.extractedTitle);"
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,125,125,// Calculate verification score
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,126,126,verification.verificationScore = this.calculateVerificationScore(verification);
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,128,128,verification.warnings.push(`HTTP ${response.status}: Citation may be inaccessible`);
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,129,129,verification.verificationScore = 0.5; // Partial credit for correct URL format
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,132,132,verification.warnings.push(`Verification failed: ${error instanceof Error ? error.message : 'Unknown error'}`);
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,133,133,verification.verificationScore = 0.3; // Low score for unreachable citations
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,137,137,verification.isAccessible = false; // Temporarily unreachable
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,145,145,verification.warnings.push(`Invalid publication year: ${publicationYear} is in the future`);
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,146,146,verification.verificationScore *= 0.5;
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,148,148,verification.warnings.push(`Outdated source: ${publicationYear}`);
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,149,149,verification.verificationScore *= 0.6;
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,151,151,verification.warnings.push(`Source is ${currentYear - publicationYear} years old; may be outdated`);
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,153,153,verification.verificationScore *= 0.9;
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,158,158,"this.verificationCache.set(cacheKey, verification);"
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,159,159,return verification;
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,165,165,async verifyAllCitations(citations: { url: string; title: string; publicationYear?: number; evidenceLevel?: 'A' | 'B' | 'C' }[]): Promise<CitationVerification[]> {
hallucination,apps/web/lib/theory-gen/services/citation-verification-service.ts,174,174,* Check for hallucinations by verifying claims are supported by citations
hallucination,apps/web/lib/theory-gen/services/citation-verification-service.ts,180,180,* 4. Flag unsupported claims as hallucinations
hallucination,apps/web/lib/theory-gen/services/citation-verification-service.ts,182,182,async detectHallucinations(
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,185,185,citations: CitationVerification[]
hallucination,apps/web/lib/theory-gen/services/citation-verification-service.ts,186,186,): Promise<HallucinationCheck[]> {
hallucination,apps/web/lib/theory-gen/services/citation-verification-service.ts,188,188,const hallucinations: HallucinationCheck[] = [];
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,204,204,.filter(c => c.isAccessible && c.verificationScore > 0.7)
hallucination,apps/web/lib/theory-gen/services/citation-verification-service.ts,207,207,const hallucination: HallucinationCheck = {
hallucination,apps/web/lib/theory-gen/services/citation-verification-service.ts,213,213,"explanation: this.generateHallucinationExplanation(claim, supportingCitations, isDangerousClaim),"
hallucination,apps/web/lib/theory-gen/services/citation-verification-service.ts,216,216,// Flag as potential hallucination if:
hallucination,apps/web/lib/theory-gen/services/citation-verification-service.ts,221,221,hallucinations.push({
hallucination,apps/web/lib/theory-gen/services/citation-verification-service.ts,222,222,"...hallucination,"
hallucination,apps/web/lib/theory-gen/services/citation-verification-service.ts,228,228,hallucinations.push({
hallucination,apps/web/lib/theory-gen/services/citation-verification-service.ts,229,229,"...hallucination,"
hallucination,apps/web/lib/theory-gen/services/citation-verification-service.ts,237,237,return hallucinations;
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,248,248,"verificationStatus: 'verified' | 'unverified' | 'failed' | 'contradiction',"
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,256,256,"verificationStatus,"
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,264,264,* Calculate overall verification score (0-1)
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,266,266,private calculateVerificationScore(verification: CitationVerification): number {
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,270,270,score += (verification.isAccessible ? 0.4 : 0.1);
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,273,273,score += (verification.titleMatch ? 0.25 : 0.1);
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,276,276,score += (verification.isAuthoritative ? 0.25 : 0.1);
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,279,279,if (verification.evidenceLevel === 'A') score += 0.1;
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,280,280,else if (verification.evidenceLevel === 'B') score += 0.05;
hallucination,apps/web/lib/theory-gen/services/citation-verification-service.ts,296,296,* Generate explanation for hallucination detection
hallucination,apps/web/lib/theory-gen/services/citation-verification-service.ts,298,298,"private generateHallucinationExplanation(claim: string, citations: string[], isDangerous: boolean): string {"
safety,apps/web/lib/theory-gen/services/citation-verification-service.ts,301,301,"return `UNSUPPORTED DANGEROUS CLAIM: ""${claim}"" has no citation backing. This is a critical medical safety issue.`;"
guideline,apps/web/lib/theory-gen/services/citation-verification-service.ts,382,382,private inferSource(url: string): 'brazilian_guideline' | 'pubmed' | 'uptodate' | 'web' | 'unknown' {
guideline,apps/web/lib/theory-gen/services/citation-verification-service.ts,385,385,if (/sbcardiologia|febrasgo|sbp|sbpd|brasileir/.test(domain)) return 'brazilian_guideline';
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,458,458,this.verificationCache.clear();
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,466,466,"size: this.verificationCache.size,"
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,467,467,"entries: Array.from(this.verificationCache.keys()),"
verification,apps/web/lib/theory-gen/services/citation-verification-service.ts,472,472,export default CitationVerificationService;
ENAMED,apps/web/lib/theory-gen/services/darwin-mfc-transformer.ts,12,12,"ENAMEDArea,"
ENAMED,apps/web/lib/theory-gen/services/darwin-mfc-transformer.ts,21,21,area: ENAMEDArea
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,4,4,* Persists citation verification and hallucination detection results
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,4,4,* Persists citation verification and hallucination detection results
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,9,9,"import { CitationVerification, HallucinationCheck, AuditEntry } from './citation-verification-service';"
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,9,9,"import { CitationVerification, HallucinationCheck, AuditEntry } from './citation-verification-service';"
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,23,23,* Save citation verification results to audit trail
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,26,26,async saveCitationVerification(
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,29,29,"verification: CitationVerification,"
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,50,50,"title: verification.title,"
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,51,51,"source: verification.source,"
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,52,52,"evidence_level: verification.evidenceLevel,"
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,53,53,"is_accessible: verification.isAccessible,"
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,54,54,"accessibility_checked_at: verification.lastVerifiedAt,"
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,68,68,.from('citation_verification_audit')
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,72,72,"is_accessible: verification.isAccessible,"
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,73,73,"http_status_code: verification.statusCode,"
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,74,74,"title_match: verification.titleMatch,"
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,75,75,"extracted_title: verification.extractedTitle,"
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,76,76,"verification_score: verification.verificationScore,"
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,77,77,"is_authoritative: verification.isAuthoritative,"
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,78,78,"source_type: verification.source,"
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,79,79,"warnings: verification.warnings,"
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,80,80,"verified_at: verification.lastVerifiedAt,"
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,81,81,"verification_method: this.inferVerificationMethod(verification),"
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,99,99,* Save hallucination detection results
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,101,101,async saveHallucinationCheck(
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,103,103,"hallucination: HallucinationCheck,"
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,109,109,const claimHash = this.hashClaim(hallucination.claim);
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,112,112,"const riskLevel = this.assessRiskLevel(hallucination, isDangerousClaim);"
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,115,115,.from('hallucination_audit')
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,118,118,"section_name: hallucination.section,"
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,119,119,"claim_text: hallucination.claim,"
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,121,121,"claim_supported: hallucination.claimSupported,"
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,122,122,"confidence: hallucination.confidence,"
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,138,138,if (hallucination.supportingCitations.length > 0) {
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,142,142,"hallucination.supportingCitations,"
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,143,143,hallucination.confidence
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,162,162,"hallucinationAuditId: string,"
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,181,181,"hallucination_audit_id: hallucinationAuditId,"
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,203,203,verification_score: number;
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,210,210,// Get hallucination audit data
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,211,211,const { data: hallucinations } = await this.supabase
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,212,212,.from('hallucination_audit')
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,216,216,// Get citation verification data
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,218,218,.from('citation_verification_audit')
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,222,222,const totalClaims = hallucinations?.length || 0;
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,223,223,const unsupportedClaims = hallucinations?.filter(h => !h.claim_supported).length || 0;
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,224,224,const criticalIssues = hallucinations?.filter(h => h.risk_level === 'critical').length || 0;
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,230,230,const verificationScore =
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,240,240,"verification_score: Math.round(verificationScore * 100) / 100,"
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,256,256,async getUnsupportedClaims(topicId: string): Promise<HallucinationCheck[]> {
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,259,259,.from('hallucination_audit')
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,284,284,* Mark a hallucination claim as reviewed
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,287,287,"hallucinationAuditId: string,"
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,293,293,.from('hallucination_audit')
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,299,299,".eq('id', hallucinationAuditId);"
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,317,317,async getInaccessibleCitations(topicId: string): Promise<CitationVerification[]> {
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,320,320,.from('citation_verification_audit')
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,338,338,"verificationScore: d.verification_score,"
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,350,350,* Helper: Infer verification method based on what was checked
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,352,352,private inferVerificationMethod(
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,353,353,verification: CitationVerification
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,355,355,if (verification.extractedTitle) return 'title_extraction';
verification,apps/web/lib/theory-gen/services/database-audit-service.ts,356,356,if (verification.statusCode !== undefined) return 'http_check';
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,361,361,* Helper: Assess risk level based on hallucination check
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,364,364,"hallucination: HallucinationCheck,"
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,367,367,if (!hallucination.claimSupported) {
hallucination,apps/web/lib/theory-gen/services/database-audit-service.ts,369,369,if (hallucination.confidence < 0.3) return 'high';
Grok,apps/web/lib/theory-gen/services/generation-service.ts,8,8,* 4. LLM generation (Grok-4-fast-reasoning)
verification,apps/web/lib/theory-gen/services/generation-service.ts,24,24,import CitationVerificationService from './citation-verification-service';
verification,apps/web/lib/theory-gen/services/generation-service.ts,32,32,private citationVerificationService: CitationVerificationService;
verification,apps/web/lib/theory-gen/services/generation-service.ts,41,41,"citationVerificationService?: CitationVerificationService,"
verification,apps/web/lib/theory-gen/services/generation-service.ts,49,49,this.citationVerificationService = citationVerificationService || new CitationVerificationService();
hallucination,apps/web/lib/theory-gen/services/generation-service.ts,85,85,// 5. Validate (includes hallucination detection)
hallucination,apps/web/lib/theory-gen/services/generation-service.ts,99,99,// 6. Log audit trails (citation verification and hallucination detection)
verification,apps/web/lib/theory-gen/services/generation-service.ts,99,99,// 6. Log audit trails (citation verification and hallucination detection)
verification,apps/web/lib/theory-gen/services/generation-service.ts,103,103,// Save citation verifications
verification,apps/web/lib/theory-gen/services/generation-service.ts,106,106,const verification = await this.citationVerificationService.verifyCitation(
verification,apps/web/lib/theory-gen/services/generation-service.ts,114,114,await this.auditService.saveCitationVerification(
verification,apps/web/lib/theory-gen/services/generation-service.ts,117,117,"verification,"
hallucination,apps/web/lib/theory-gen/services/generation-service.ts,123,123,// Save hallucination detection results
verification,apps/web/lib/theory-gen/services/generation-service.ts,128,128,const verifications = await this.citationVerificationService.verifyAllCitations(
